date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:06	75213/75213	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:29%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718014_58496	J:/$projects/DigestExt/DigestPlus/web/_17718014_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
17:08:07	119119/119119	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:30%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718016_28044	J:/$projects/DigestExt/DigestPlus/web/_17718016_28044.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
17:08:08	129066/129066	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:29%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718012_13016	J:/$projects/DigestExt/DigestPlus/web/_17718012_13016.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
17:08:08	1582840/1582840	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:22%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716116_Heading2_2	J:/$projects/DigestExt/DigestPlus/web/_17716116_heading2_2.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
17:08:10	367066/367066	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:31%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718028_43621	J:/$projects/DigestExt/DigestPlus/web/_17718028_43621.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
17:08:10	145055/145055	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:29%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718015_58496	J:/$projects/DigestExt/DigestPlus/web/_17718015_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
17:08:10	353285/353285	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:32%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718057_Heading2_5	J:/$projects/DigestExt/DigestPlus/web/_17718057_heading2_5.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
17:08:11	140807/140807	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:33%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718034_58351	J:/$projects/DigestExt/DigestPlus/web/_17718034_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
17:08:11	216489/216489	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:32%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718033_82397	J:/$projects/DigestExt/DigestPlus/web/_17718033_82397.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
17:08:11	117522/117522	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2017%20Feb%202016%2022:07:34%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718035_58351	J:/$projects/DigestExt/DigestPlus/web/_17718035_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
