date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:27	139597/139597	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:02%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718009_66748	J:/$projects/DigestExt/DigestPlus/web/_17718009_66748.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:27	81445/81445	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:02%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718010_80900	J:/$projects/DigestExt/DigestPlus/web/_17718010_80900.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:27	75157/75157	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:02%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718014_58496	J:/$projects/DigestExt/DigestPlus/web/_17718014_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:28	144999/144999	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:03%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718015_58496	J:/$projects/DigestExt/DigestPlus/web/_17718015_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:28	129010/129010	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:03%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718012_13016	J:/$projects/DigestExt/DigestPlus/web/_17718012_13016.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:28	119063/119063	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:03%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718016_28044	J:/$projects/DigestExt/DigestPlus/web/_17718016_28044.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:29	367010/367010	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:03%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718028_43621	J:/$projects/DigestExt/DigestPlus/web/_17718028_43621.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:29	216433/216433	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:04%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718033_82397	J:/$projects/DigestExt/DigestPlus/web/_17718033_82397.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:29	353229/353229	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:03%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718057_Heading2_5	J:/$projects/DigestExt/DigestPlus/web/_17718057_heading2_5.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:29	198584/198584	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:04%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718037_58496	J:/$projects/DigestExt/DigestPlus/web/_17718037_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:30	140751/140751	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:04%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718034_58351	J:/$projects/DigestExt/DigestPlus/web/_17718034_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
